"标题","类型","分类","标签","内容","变量","ID"
"小猪佩奇花体弥散童趣","字体","艺术字","艺术字","花体字体设计 {text_cn}，采用活泼、圆润的卡通手写字体风格，笔画带有流畅的曲线和俏皮的装饰，加入动漫笔画中的高光线，起笔和收笔有明显的变形，黑底，多色渐变变化，弥散，富有童趣。","{text_cn}","8a0084"
"新品上市双语体连笔新尚","字体","艺术字","中英文","创意字体设计 Logo：中文{text_cn} ，线条流畅、舒展且具有艺术感，将字体进行抽象变形，似是而非，相邻两个字上一字的末笔是下一字的首笔，相邻字的笔划可以共享借代。使几个文字成为一个紧凑的整体，字与字之间有相互联系的笔划。高级感，扁平化，黑色高端大气背景，小英文{text_en}。","{text_cn}|{text_en}","8a0085"
"星辰大海流线体星蓝流光","字体","艺术字","艺术字","字体字效设计，文字 {text_cn} 采用现代感强烈的流线型艺术风格，字形优雅且带有旋转感，线条流畅且富有动感。字体为粉蓝渐变，有光泽感。背景为深色，星空点缀效果。","{text_cn}","8a0086"
"星光大道梦幻体星蓝渐变","字体","艺术字","艺术字","字体字效设计，文字 {text_cn} 字体采用优雅流畅的书法风格，文字中带有渐变色彩从青绿色到浅蓝色，字形细腻且带有光泽感。具有独特的曲线，带有星星和细线连接的装饰营造出神秘和梦幻的氛围。","{text_cn}","8a0087"
"星际旅行科幻体赛博霓虹","字体","艺术字","风格","科幻艺术字{text_cn} ，硬核赛博朋克 + 机械未来感，锐利机械切割 + 流线型科技弧线，高反射铬合金 + 边缘霓虹光，嵌入式发光电路纹（0.5px 线宽，微光脉冲），背景纯黑（带微光粒子浮动），冷蓝光，暖橙光，外缘脉冲光，高对比 HDR + 故障艺术点缀，8k 高清。","{text_cn}","8a0088"
"渲染体机甲科幻","字体","艺术字","艺术字","风格：冲击力的创意字体设计 {text_cn}，未来科幻机甲风格创意字体，以 c4d 进行 3d 风格渲染。","{text_cn}","8a0089"
"艺术装饰体饰韵花鸟","字体","艺术字","艺术字","黑底白字，画面中央呈现四个艺术字体汉字 {text_cn} 。字体设计风格为艺术装饰风，笔画多运用流畅曲线勾勒，多处带有精致装饰细节，如曲线收尾处的小圆点、小卷曲以及转折处的独特曲线装饰 。部分笔画用圆点代替，同时，笔画有自然的粗细变化，以增强立体感。整体字体呈现出优雅精致的气质，背景简洁干净，无多余元素干扰字体展示。","{text_cn}","8a0090"
"英雄联盟立体体机械科技","字体","艺术字","风格","""""{text_cn}"""" 以立体文字呈现，正视图，充满设计感，每一个笔画充满科技感纹路，机械感，背景为纯黑色背景，4K 画质。","{text_cn}","8a0091"
"荧光国潮第一观","字体","艺术字","艺术字","字体与山水融合：{text_cn} 汉字，笔画轮廓与山水形态完全融合，以山水轮廓替代字体边缘，瀑布沿笔画走势流淌，花草、松石生长于笔画结构中 风格与质感：新中式国潮，立体浮雕字体，荧光青绿渐变材质，暗黑背景突出山水字体的通透感，水墨山水意境融入笔画细节 动态与装饰：流水从字体笔画自然倾泻，形成动态瀑布效果，中式印章、竖排小字（三维四溟藻 ）作为传统装饰元素，地面带字体投影反光，强化立体嵌入感。","{text_cn}","8a0092"
"赢战高考快乐体动感活力","字体","艺术字","艺术字","红色背景，设计具有动感活力的 {text_cn} 字体。中文部分采用快乐体粗体手写风格，笔画粗细不一，富有变化和动感，部分笔画进行夸张变形，呈现出活泼俏皮的感觉。笔画末端添加圆点装饰，部分笔画旁添加短弧线，增强动感。搭配小字排版 EDGEART AI 设计实验 采用简洁的无衬线字体，放置于中文字右下方，与中文风格相呼应，文字后方添加漫画拟声字爆炸形状的装饰图案，作为背景衬托，营造出轻松愉快、充满活力的氛围，完美构图。","{text_cn}","8a0093"
"有志创意体绿缀励志","字体","艺术字","艺术字","矢量插画，标志，黑色背景，白色字，创意字体设计 Logo，流畅且富有艺术感，中文 {text_cn}，绿色点缀。设计灵感：将字体进行抽象变形，给人以强烈的视觉冲击。高级感，扁平化，大师作品。","{text_cn}","8a0094"
"圆幼乳白标题字","字体","艺术字","艺术字","生成包含 {text_cn}文字的图片，采用圆幼厚实字体，带有立体感、乳白色文字、黑色星空背景和浅蓝色飘带。","{text_cn}","8a0095"
"月朦胧美术体粉蝶朦胧","字体","艺术字","艺术字","创意字体设计 Logo：{text_cn}，中英文穿插，美术字体设计，笔画形态夸张多变，极富创意的秀丽笔风格，结构中加入爱心、两只蝴蝶和弧线结构，细节曲线增强装饰，体现时尚与柔美气质，起承转合，运笔流畅，线条婉转自由，浪漫主题，前卫时尚，活没可爱，矢量，适用于婚礼请柬，纯黑底粉字。","{text_cn}","8a0096"
"云朵艺术体云形白蓝","字体","艺术字","中英文","中文单{text_cn}字体由云朵形状构成， 英文单词 {text_en} ，每个字母都像是一朵蓬松的白云，呈现出自然、柔软的质感，给人轻松、愉悦的感觉。字母为白色，模拟云朵的颜色，背景是纯净的蓝色，如同晴朗的天空，形成鲜明的色彩对比。","{text_cn}|{text_en}","8a0097"
"蜘蛛侠抽象体金属蝙蝠","字体","艺术字","材质","一个抽象的标志，主体由立体金属质感的汉字 {text_cn} 构成，文字设计巧妙地融入蝙蝠的轮廓外形，笔划夸张变形，英文点缀，整体造型呈现出一种独特而富有创意的视觉效果，背景为深邃的黑色，简洁而现代。","{text_cn}","8a0098"
"中国梦书法体水墨延韵","字体","艺术字","书法","""""{text_cn}"""" 艺术字体设计，要求毛笔手写风格，极强的艺术写作风格。视觉震撼，笔画增加水墨笔刷效果，笔画巧妙延长设计变形，小印章 """"艺术书法"""" 加旁边。黑底白字。","{text_cn}","8a0099"
"中国书法体禅韵立体","字体","艺术字","风格","海报设计，东方禅韵化表达，{text_cn} 字，空间感立体书法艺术作品，具有流动的暗红色笔触，立体饱满的笔画，按照中国书法的笔画顺序书写，笔画间立体穿插，颜料为各种暗红色油画和丙烯混合颜料，笔画里的笔触清晰可见，立体构成，分层明显，搭配印章，小字 中国书法艺术，中文书法 蒸蒸日上，底部文字 祖国万岁，排版设计，C4D 渲染，光影效果，简约虚空空间背景，现代数字艺术风格。","{text_cn}","8a0100"
"中秋草体浮雕鎏金文物","字体","艺术字","艺术字","{text_cn} 二字，厚重草体风格，笔画加粗两倍，笔画内部雕刻有中国古代文物微缩图案，浑然天成，工笔细致，立体浮雕效果。文字边缘鎏金描边，金属光泽，背景为深褐色仿古绢布，搭配暗纹云雷纹，整体呈现奢华国风，8K 超精细渲染。","{text_cn}","8a0101"
"字金属创意体彩银未来","字体","艺术字","材质","金属字体标志 {text_cn}，银色为主，带着一些彩金色的光泽，创意字体设计，线条流畅且富有艺术感，将字体进行抽象变形，创造出独特的节奏和动感，高级质感，未来主义，干净背景，。","{text_cn}","8a0102"
"字体设计标志体黑白流韵","字体","艺术字","艺术字","创意字体设计 Logo：字体设计，黑底白字，线条流畅且富有艺术感，中文 {text_cn}。","{text_cn}","8a0103"
"字体设计艺术体星际科幻","字体","艺术字","艺术字","科幻风格艺术字 {text_cn}，黑色背景。","{text_cn}","8a0104"
