ID,标题,类型,分类,内容,英文内容
"900305","天使乐园祥和镇","场景","A光明治愈系","天使般的天堂和平小镇风格。一个迷人的小镇，周围被白色的、蓬松的云朵屏障所包围，给它增添了一种超凡脱俗的外观。小镇的建筑由浅色的石头和木头建成，每家门前都有五彩缤纷、鲜花盛开的花园。可以看到有大白翅膀的天使在小镇上空飞翔或在人群中行走，提供安慰和指导。中心广场有一个大型的大理石喷泉，泉水流淌，带来一种平和与宁静。小镇充满了柔和的音乐声和孩子们的笑声","angelic paradise peaceful town style . A charming town surrounded by a white, fluffy cloud barrier, giving it an otherworldly appearance. The town's buildings are made of light - colored stone and wood, with colorful, flower - filled gardens in front of each house. Angels with large, white wings can be seen flying above the town or walking among the people, offering comfort and guidance. There is a central square with a large, marble fountain, from which water flows, carrying a sense of peace and tranquility. The town is filled with the sound of gentle music and the laughter of children"
"900306","梦幻花田精灵谷","场景","A光明治愈系","梦幻花田仙女谷风格。一个广阔的，缓坡的山谷被各种各样的鲜艳、芳香的花朵铺满。花朵从精致的野花到大型的异国情调的花朵应有尽有，都在柔和温暖的微风中摇曳。在花丛中，微小的发光仙女飞来飞去，它们的翅膀留下了闪烁的尘埃痕迹。清澈的小溪在山谷中蜿蜒流淌，水面反射着上方多彩的天空。空气中充满了仙女的笑声和花朵轻轻摇曳的声音。","dreamy flower field fairy valley style . A vast, gently sloping valley carpeted with an endless variety of brightly - colored, fragrant flowers. The flowers range from delicate wildflowers to large, exotic blooms, all swaying in a soft, warm breeze. In the midst of the flowers, tiny, glowing fairies flit about, their wings leaving trails of glittering dust. Small, clear streams meander through the valley, their waters reflecting the colorful sky above. The air is filled with the sweet sound of fairy laughter and the gentle rustling of the flowers"
"900307","阳光海滨疗养湾","场景","A光明治愈系","阳光明媚的海边疗养湾风格。一个美丽海滩上的隐蔽小湾，沙滩柔软金黄，在温暖的阳光照耀下几乎闪闪发光。海水清澈湛蓝，吸引着人们，轻柔的波浪拍打着岸边。海岸线旁，一座座小巧的木制小屋拥有茅草屋顶，每座小屋都被一个种满疗愈草药的花园环绕。这些小屋供寻求休息和焕发活力的人们使用。海滩上还有大块平坦的岩石，非常适合晒太阳和冥想。海浪声和海鸟的啁啾声构成了一首舒缓的旋律","sunny seaside healing cove style . A secluded cove on a beautiful beach, where the sand is soft and golden, almost glowing in the warm sunlight. The ocean waters are a clear, inviting blue, with gentle waves rolling onto the shore. Along the shoreline, there are small, wooden cabins with thatched roofs, each surrounded by a garden filled with healing herbs. The cabins are used by those seeking rest and rejuvenation. There are also large, flat rocks on the beach, perfect for sunbathing and meditation. The sound of the waves and the chirping of seabirds create a soothing melody"
"900308","治愈之光浮空岛","场景","A光明治愈系","治疗之光悬浮岛风格。一个巨大的漂浮岛屿在天空中，被柔和的金色光环所环绕。岛上覆盖着郁郁葱葱的绿草和高大的果树。树上的果实散发着治疗之光，吃下它们可以治愈各种疾病。岛屿的不同部分之间由小木桥连接，小溪在草地上闪烁着流淌。岛上居住着一群治愈者，他们利用岛上的自然资源帮助那些需要帮助的人。","healing light floating island style . A large, floating island in the sky, surrounded by a soft, golden aura. The island is covered in lush, green grass and tall, fruit - bearing trees. The fruits on the trees glow with a healing light, and eating them can cure various ailments. There are small, wooden bridges connecting different parts of the island, and small, sparkling streams flow through the grass. The island is home to a community of healers, who use the natural resources of the island to help those in need"
"900309","晨曦草原希望镇","场景","A光明治愈系","黎明草原希望镇风格。一片宽阔、开阔的草原随着黎明的第一缕曙光而复苏。草原上的草是生机勃勃的绿色，在太阳升起时，它沐浴在温暖的金色光芒中。在草原的中心，一个小镇矗立着。镇上的房屋涂成了明亮、欢快的颜色，每家都有一个种满蔬菜和鲜花的小花园。这个小镇是一个充满希望的地方，人们在这里共同努力，分享他们的技能和资源。公鸡的啼叫声和农民开始他们一天的景象，营造出一种乐观和社区感。","dawn prairie hope town style . A wide, open prairie that comes alive with the first rays of dawn. The grass on the prairie is a vibrant green, and as the sun rises, it is bathed in a warm, golden light. In the center of the prairie, a small town stands. The houses in the town are painted in bright, cheerful colors, and each has a small garden filled with vegetables and flowers. The town is a place of hope, where people work together, sharing their skills and resources. The sound of roosters crowing and the sight of farmers starting their day create a sense of optimism and community"
"900310","祥和花园许愿林","场景","A光明治愈系","宁静花园愿望树风格。一个大型、维护良好的花园，里面种植着各种各样的花卉、灌木和树木。在花园的中心，有一个小的圆形空地，周围被一圈古树环绕。在空地的中央，有一个许愿井，人们来到这里许愿。树林里的树木据说是具有魔力的，树枝上装饰着彩色的丝带和小的发光水晶。花园里的空气中充满了花香和轻柔的风声，风吹动着树叶发出沙沙声。","peaceful garden wishing grove style . A large, well - maintained garden filled with a variety of flowers, shrubs, and trees. In the center of the garden, there is a small, circular clearing surrounded by a ring of ancient trees. In the middle of the clearing, there is a wishing well, where people come to make their wishes. The trees in the grove are said to have magical powers, and their branches are decorated with colorful ribbons and small, glowing crystals. The air in the garden is filled with the sweet smell of flowers and the sound of gentle wind rustling the leaves"
"900311","圣湖灵岛修行处","场景","A光明治愈系","神圣湖泊精神岛屿静修风格。一片广阔的宁静湖泊，湖水清澈见底，映照着蓝天和周围的山脉。湖中央有一个小岛，是精神静修的家园。岛上覆盖着各种植物，其中一些具有神奇的治愈属性。岛上有一些简单的小屋，人们来这里冥想、练习瑜伽，治愈他们的心灵和身体。湖泊是温和的魔法生物的家园，比如水仙女，它们帮助维持该地区的和平与平衡。","sacred lake spiritual island retreat style . A vast, calm lake with crystal - clear waters that reflect the blue sky and the surrounding mountains. In the middle of the lake, a small island is home to a spiritual retreat. The island is covered in a variety of plants, some with magical healing properties. There are small, simple huts on the island, where people come to meditate, practice yoga, and heal their minds and bodies. The lake is home to gentle, magical creatures, such as water nymphs, who help maintain the peace and balance of the area"
"900312","彩虹瀑布希望崖","场景","A光明治愈系","彩虹瀑布希望悬崖风格。一座雄伟的悬崖，瀑布从其上倾泻而下，创造出一片永恒且色彩斑斓的彩虹在雾中。悬崖底部有一个大而浅的池塘，里面充满了清澈的水，其中游着鳞片闪着光泽的鱼。池塘周围的区域开满了似乎内在发光的野花。人们来到这座悬崖寻找希望和灵感，常常留下表示感谢的小物件。瀑布的声音既强大又安抚，就像自然界自己的声音。","rainbow waterfall hope cliff style . A majestic cliff from which a powerful waterfall cascades down, creating a permanent, vibrant rainbow in the mist. At the base of the cliff, there is a large, shallow pool filled with clear water, where fish with iridescent scales swim. The area around the pool is filled with wildflowers that seem to glow with an inner light. People come to the cliff to seek hope and inspiration, often leaving behind small tokens of gratitude. The sound of the waterfall is both powerful and soothing, like the voice of nature itself"
"900313","光明神庙祈福地","场景","A光明治愈系","明亮的神庙祝福地点风格。一座宏伟的白色大理石神庙矗立在山顶，俯瞰着美丽的山谷。神庙装饰着复杂的天使雕刻和希望的符号。在神庙内部，有一个宽敞的中央大厅，充满了柔和温暖的光线。穿着白色长袍的牧师和女祭司为那些寻求指导和治疗的人提供祝福和祈祷。神庙周围环绕着一个美丽的花园，人们可以坐下来反思。从神庙塔楼传来的钟声充满了空气，传递着和平与神圣存在的感觉。","bright temple blessing place style . A grand, white - marble temple standing on a hilltop, overlooking a beautiful valley. The temple is decorated with intricate carvings of angels and symbols of hope. Inside the temple, there is a large, central hall filled with soft, warm light. Priests and priestesses in white robes offer blessings and prayers for those who come seeking guidance and healing. The temple grounds are surrounded by a beautiful garden, where people can sit and reflect. The sound of bells ringing from the temple tower fills the air, carrying a sense of peace and divine presence"
"900314","灵泉圣林冥想地","场景","A光明治愈系","灵性之泉圣林冥想区风格。一片茂密的森林，古树丛生，它们的枝条交织形成自然的顶篷。森林的中心，一个巨大的、清澈的泉水涌出，水面散发出柔和的金色光芒。这光芒照亮了周围区域，突显了繁茂的绿色植被和点缀在森林地面上的彩色蘑菇。小而石制的小径蜿蜒穿过森林，通向隐蔽的冥想地点。空气中弥漫着森林的新鲜泥土气息和泉水的温柔治愈能量。","spiritual spring sacred forest meditation area style . A dense forest filled with ancient trees, their branches intertwined to form a natural canopy. At the heart of the forest, a large, crystal - clear spring bubbles up, its waters emitting a soft, golden glow. The glow illuminates the surrounding area, highlighting the lush, green foliage and the colorful mushrooms that dot the forest floor. There are small, stone paths winding through the forest, leading to secluded meditation spots. The air is thick with the fresh, earthy scent of the forest and the gentle, healing energy of the spring"
"900315","明亮的射线光束","环境","A光影","明亮的射线光束","light_rays"
"900316","侧面光","环境","A光影","侧面光","sidelight"
"900317","背景光","环境","A光影","背景光","background light"
"900318","逆光","环境","A光影","逆光","backlighting"
"900319","氛围光照","环境","A光影","氛围光照","moody lighting"
"900320","透镜光晕","环境","A光影","透镜光晕","lens flare"
"900321","电影光效","环境","A光影","电影光效","cinematic_lighting"
"900322","自上而下的光线","环境","A光影","自上而下的光线","god_rays"
"900323","体积光","环境","A光影","体积光","Volumetric Lighting"
"900324","背光","环境","A光影","背光","backlight"
"900325","正面光","环境","A光影","正面光","frontlight"
"900326","强边缘光","环境","A光影","强边缘光","strong_rim_light"
"900327","环境光","环境","A光影","环境光","ambient_light"
"900328","轮廓光","环境","A光影","轮廓光","rim light"
"900329","漏光光效","环境","A光影","漏光光效","light leaks"
"900330","丁达尔效应","环境","A光影","丁达尔效应","Tyndall effect"
"900331","自然光","环境","A光影","自然光","available light"
"900332","光追","环境","A光影","光追","reality_ray_tracing"
"900333","金属光泽","环境","A光影","金属光泽","metallic luster"
"900334","镜头光晕","环境","A光影","镜头光晕","lens_flare"
"900335","边缘光","环境","A光影","边缘光","rim_light"
"900336","霓虹灯","环境","A光影","霓虹灯","glowing neon lights"
"900337","正午强光","环境","A光源","正午强光","Noon Hard Light / Midday Bright Light"
"900338","阴影效果","环境","A光源","阴影效果风格。清晰、明显的阴影，为场景增加深度、维度和现实感，阴影根据光源方向合理投射。","shadow effect style . Well - defined, distinct shadows that add depth, dimension, and a sense of realism to the scene, with shadows casting in a logical direction based on the light source"
"900339","日出","环境","A光源","日出","Sunrise"
"900340","影棚光","环境","A光源","影棚照明风格。在影棚中常见的平衡良好的控制光源，包括柔光、主光和填充光，为摄影或拍摄提供最佳的照明条件。","studio light style . Well - balanced, controlled light sources typically found in a studio, including soft lights, key lights, and fill lights, providing optimal lighting conditions for photography or filming"
"900341","晴天直射光","环境","A光源","晴天直射光","Sunny Direct Light"
"900342","伦勃朗照明","环境","A光源","伦勃朗照明风格。在主体脸部形成的特征性三角形光斑，脸部的一侧处于阴影中，创建立体和戏剧性的外观，以荷兰画家对光线的使用命名","Rembrandt lighting style . Characteristic triangular patch of light on the subject's face, with one side of the face in shadow, creating a three - dimensional and dramatic look, named after the Dutch painter's use of light"
"900343","高饱和度","环境","A光源","高饱和度样式。鲜艳、强烈的颜色，纯净且没有灰色的底色。图像看起来大胆、充满活力并且引人注目，常用于广告或表现生动、激动人心的主题","high saturation style . Vivid, intense colors that are pure and free from gray undertones. The image appears bold, energetic, and eye - catching, often used in advertising or to represent a lively, exciting subject"
"900344","立体光","环境","A光源","体积光风格。产生三维效果的光线，例如通过使用光束和渐变，使物体和场景看起来更具有体积感和接近现实世界。","volumetric light style . Light that gives a three - dimensional effect, such as through the use of light beams and gradients, making objects and the scene appear more volumetric and real - world - like"
"900345","白炽灯","环境","A光源","白炽灯","A traditional bulb that heats a tungsten filament to produce warm, yellowish light; low energy efficiency."
"900346","暖色调","环境","A光源","温暖色调风格。以红色、橙色和黄色为主的色调，创造出温馨、吸引人且充满活力的氛围。颜色融合在一起，唤起一种温暖的感觉，就像壁炉的光芒或阳光明媚的夏日一样。","warm tones style . Dominant red, orange, and yellow hues, creating a cozy, inviting, and energetic atmosphere. Colors blend to evoke a sense of warmth, like the glow of a fireplace or a sunny summer day"
"900347","聚光","环境","A光源","聚光灯风格。一种聚焦的光线束，它突出显示特定区域或物体，吸引观众的注意力。场景的其余部分可能相对处于黑暗中，为照亮的主体创造了一种重要性和孤立感。","spotlight style . A focused beam of light that highlights a specific area or object, drawing the viewer's attention to it. The rest of the scene may be in relative darkness, creating a sense of importance and isolation for the lit subject"
"900348","仙气缭绕","环境","A光源","梦幻雾气风格。充满场景的柔和白雾或略带色彩的雾，散射光线，创造出梦幻般的超现实氛围，并增添神秘感。","ethereal mist style . A soft, white or slightly colored mist that fills the scene, diffusing light, creating a dreamy, otherworldly atmosphere, and adding a sense of mystery"
"900349","汽车前灯","环境","A光源","汽车前灯","Front-mounted lights on vehicles; emit bright, directional light to illuminate roads ahead during nighttime driving."
"900350","电影光","环境","A光源","电影照明风格。模仿电影中使用的照明风格，通过精心设计的照明设置来创造氛围、深度和视觉叙事，通常具有高制作价值的外观。","cinematic light style . Lighting that mimics the style used in film, with carefully crafted lighting setups to create mood, depth, and visual storytelling, often with a high - production - value look"
"900351","对比色","环境","A光源","对比色风格。在色轮上相对的颜色，如红色和绿色或蓝色和橙色，用来创造强烈的视觉冲击。对比使得元素突出，为图像增添动态和紧张感","contrasting colors style . Colors opposite each other on the color wheel, like red and green or blue and orange, used to create a strong visual impact. The contrast makes elements stand out, adding dynamism and tension to the image"
"900352","低饱和度","环境","A光源","低饱和度样式。混入大量灰色的柔和、类似水彩的色彩。它给人一种柔软、温和、有时怀旧的感觉，适合创造平静或复古的氛围","low saturation style . Subdued, pastel - like colors with a significant amount of gray mixed in. It gives a soft, gentle, and sometimes nostalgic feel, suitable for creating a calm or vintage - looking atmosphere"
"900353","手电筒","环境","A光源","手电筒","A portable handheld light, usually powered by batteries; provides focused, directional light for dark environments."
"900354","黄昏","环境","A光源","黄昏","Dusk"
"900355","背光照明","环境","A光源","逆光风格。光线从被摄物体背后照射，可以形成剪影，突出被摄物体的边缘，或者为场景增加深度和戏剧感。","back lighting style . Light coming from behind the subject, which can create a silhouette, highlight the edges of the subject, or add a sense of depth and drama to the scene"
"900356","阴天光","环境","A光源","阴天光","Overcast Light"
"900357","展示照明","环境","A光源","展示照明风格。设计用于展示物品的光线，通常具有集中的光束，突出关键特征，并在画廊或商店环境中创造引人注目的展示","display lighting style . Light designed to showcase objects, often with focused beams, highlighting key features, and creating an eye - catching display in a gallery or store setting"
"900358","黎明曙光","环境","A光源","黎明曙光","Dawn Light / First Light"
"900359","明亮的光线","环境","A光源","明亮风格。高强度光线充满场景，使所有物体都得到良好照明和可见，具有强烈的照明感","bright style . High - intensity light that fills the scene, making all objects well - lit and visible, with a strong sense of illumination"
"900360","白天","环境","A光源","白天","Daytime"
"900361","底光","环境","A光源","底光风格。光源来自主体下方，可以创造出不同寻常且通常带有神秘或戏剧性的效果，因为它反转了正常的光照模式并将阴影向上投射。","bottom light style . Light originating from below the subject, which can create an unusual and often spooky or dramatic effect, as it reverses the normal lighting pattern and casts shadows upwards"
"900362","阴天漫射光","环境","A光源","阴天漫射光","Overcast Diffused Light"
"900363","荧光灯","环境","A光源","荧光灯","A gas-discharge lamp that emits bright, cool white light; energy-saving, often used in offices and households."
"900364","明暗分明","环境","A光源","鲜明阴影风格。高对比度，轮廓清晰的阴影将场景鲜明地分割成光亮和阴暗区域，创造出大胆而戏剧性的视觉效果。","stark shadows style . High - contrast, well - defined shadows that sharply divide the scene into light and dark areas, creating a bold and dramatic visual impact"
"900365","萤火虫","环境","A光源","萤火虫","A small insect that produces bioluminescent light; emits faint, blinking yellow-green light for communication or mating."
"900366","体积照明","环境","A光源","体积照明风格。光线可见，通常通过灰尘或雾气，在场景中营造出深度和体积感，光线似乎具有物理存在","volumetric lighting style . Visible light rays, often through dust or fog, creating a sense of depth and volume in the scene, with the light appearing to have a physical presence"
"900367","冷光","环境","A光源","冷光风格。带蓝色调的光线温度，创造一种凉爽、清晰的氛围，通常具有临床或神秘的感觉。","cold light style . Light with a blue - toned color temperature, creating a cool, crisp, and often clinical or mysterious atmosphere"
"900368","露营灯","环境","A光源","露营灯","A portable outdoor light for camping trips; usually battery-powered, emits soft, wide-range light for tents or campsites."
"900369","光影对比","环境","A光源","高对比度照明风格。图像中光亮和暗部之间有明显的差异，有明亮的高光和深邃的阴影。它创造了大胆、戏剧性的效果，强调了物体的形状和体积。","high - contrast lighting style . A significant difference between light and dark areas in the image, with bright highlights and deep shadows. It creates a bold, dramatic effect, emphasizing the form and volume of objects"
"900370","强光","环境","A光源","戏剧性照明风格。高对比度光线，具有强烈的高光和深阴影，在场景中营造出戏剧性、紧张感或强调感","dramatic light style . High - contrast light, with strong highlights and deep shadows, creating a sense of drama, tension, or emphasis in the scene"
"900371","冷色调","环境","A光源","冷色调风格。主要以蓝色、绿色和紫色为主，给人一种平静、宁静，有时甚至神秘的感觉。这些颜色常常与寒冷的环境相关联，如深蓝色的海洋或月光下的夜晚","cool tones style . Predominant blue, green, and purple shades, giving a calm, serene, and sometimes mysterious feel. Colors are often associated with cold environments, such as a deep - blue ocean or a moonlit night"
"900372","顶光","环境","A光源","顶光风格。光线直接从上方照射下来，可以在主体的特征下如眼睛、鼻子和下巴处形成强烈的阴影。它常被用来创造特定的氛围或强调主体的某些方面。","top light style . Light shining directly down from above, which can create strong shadows under the subject's features like the eyes, nose, and chin. It is often used to create a specific mood or to emphasize certain aspects of the subject"
"900373","侧光","环境","A光源","侧光风格。光线从被摄物体的侧面照射，产生强烈的拉长阴影并突出质感。它为物体增加立体感和体积感，使其在场景中脱颖而出。","side light style . Light coming from the side of the subject, creating strong, elongated shadows and highlighting textures. It adds dimension and a sense of volume to the object, making it stand out in the scene"
"900374","暖光","环境","A光源","暖光风格。带有黄色或橙色调的光线温度，创造一种舒适、邀请和温馨的氛围。","warm light style . Light with a yellow or orange - toned color temperature, creating a cozy, inviting, and comforting atmosphere"
"900375","发光","环境","A光源","发光效果风格。物体或光源发出柔和的、温暖的或彩色的辉光，为场景增添了一种超凡或神奇的触感，通常在光源周围创建一个类似光环的效果。","glow effect style . Objects or light sources emit a soft, warm or colorful glow, adding an ethereal or magical touch to the scene, often creating a halo - like effect around the source"
"900376","柔和阴影","环境","A光源","柔和阴影风格。阴影的定义是温和的，从亮到暗的过渡是渐进的。它们增加了场景的深度和维度，但不会过于生硬，创造了一种更自然和吸引人的外观。","soft shadows style . Shadows that are gently defined, with a gradual transition from light to dark. They add depth and dimension to the scene without being overly harsh, creating a more natural and appealing look"
"900377","单色调","环境","A光源","单色调风格。基于单一颜色，通过亮度和饱和度的变化。这导致了一个统一和谐的外观，不同色调的同一颜色无缝融合，就像室内木制装饰中不同色调的棕色","monochromatic colors style . A single base color with variations in lightness and saturation. This results in a unified, harmonious look, where different shades of the same color blend seamlessly, like different tones of brown in a wooden interior"
"900378","霓虹光","环境","A光源","霓虹光","Neon Light"
"900379","蜡烛","环境","A光源","蜡烛","A small flame-based light source; emits warm, flickering yellow light, often used for ambiance."
"900380","钠灯","环境","A光源","钠灯","A high-intensity discharge lamp; emits yellow-orange light, commonly used for street lighting due to long range."
"900381","路灯","环境","A光源","路灯","A tall outdoor light fixture; installed along roads, sidewalks, or public areas to illuminate streets at night."
"900382","手机闪光灯","环境","A光源","手机闪光灯","A built-in light feature on smartphones; uses LED to provide temporary light for taking photos in dark or lighting small areas."
"900383","台灯","环境","A光源","台灯","A small lamp designed for use on desks; provides localized light for reading, writing, or working."
"900384","黎明","环境","A光源","黎明","Dawn"
"900385","halogen 灯","环境","A光源","halogen 灯","An improved incandescent lamp with a halogen gas filling; brighter, whiter light than standard incandescent bulbs."
"900386","赛博朋克光","环境","A光源","赛博朋克灯光风格。霓虹色、高对比度的光线，通常包括紫色、蓝色和粉红色，以及强烈的反射和镜头光晕，是赛博朋克主题环境的特征。","cyberpunk light style . Neon - colored, high - contrast lights, often with purples, blues, and pinks, along with strong reflections and lens flares, characteristic of a cyberpunk - themed environment"
"900387","渐变色","环境","A光源","渐变色彩样式。两种或更多颜色之间的平滑过渡，可以是线性的、径向的或角度的。它为图像增添了深度、维度和动感，就像日落天空从橙色过渡到粉红色","gradient colors style . A smooth transition between two or more colors, which can be linear, radial, or angular. It adds depth, dimension, and a sense of movement to the image, like a sunset sky transitioning from orange to pink"
"900388","投影仪光源","环境","A光源","投影仪光源","A high-intensity bulb (e.g., LED, laser) in projectors; emits light to project images/videos onto screens or walls."
"900389","气氛照明","环境","A光源","氛围照明风格。灯光营造出特定的氛围，如浪漫场景中的温暖、舒适的光晕，或神秘场景中的冷蓝色光，增强整体氛围","atmospheric lighting style . Light that sets a specific mood, such as a warm, cozy glow for a romantic scene or a cold, blue light for a mysterious one, enhancing the overall atmosphere"
"900390","实用光","环境","A光源","实用光","Practical Light"
"900391","混合光","环境","A光源","混合光","Mixed Light"
"900392","工作室照明","环境","A光源","影棚照明风格。专业影棚中典型的受控高质量照明设置，使用柔光箱、反光板和漫射器来为对象创造均匀、美化光线","studio lighting style . Controlled, high - quality lighting setups typical of a professional studio, with softboxes, reflectors, and diffusers to create even, flattering light for subjects"
"900393","全局照明","环境","A光源","全局照明风格。场景中均匀分布的光线，模拟光线在现实世界环境中的反弹和相互作用，全面照亮所有区域和物体","global illuminations style . Evenly distributed light throughout the scene, simulating how light bounces and interacts in a real - world environment, illuminating all areas and objects comprehensively"
"900394","日光","环境","A光源","日光","Daylight"
"900395","暮色光","环境","A光源","暮色光","Dusk Light / Evening Twilight"
"900396","烛光","环境","A光源","烛光","Candle Light"
"900397","汞灯","环境","A光源","汞灯","A gas-discharge lamp that produces bright white light; often used in stadiums and industrial areas (contains mercury)."
"900398","柔光","环境","A光源","柔和光风格。温和、散射的光线减少了硬阴影，创造出讨人喜欢、平滑的照明效果。它营造出一种温暖、亲切、宁静的氛围，就像透过薄纱窗帘过滤的光线。","soft light style . Gentle, diffused light that reduces harsh shadows and creates a flattering, smooth - looking illumination. It gives a warm, inviting, and calming atmosphere, like light filtered through a sheer curtain"
"900399","人工光","环境","A光源","人工光","Artificial"
"900400","太阳光","环境","A光源","阳光风格。强烈、暖色调的光线，类似于直射阳光，有明显的阴影和高能量感，通常与户外、日间场景相关联","sun light style . Intense, warm - toned light similar to direct sunlight, with distinct shadows and a high - energy feel, often associated with outdoor, daytime scenes"
"900401","傍晚霞光","环境","A光源","傍晚霞光","Evening Glow / Sunset Glow"
"900402","暗调色彩","环境","A光源","暗色调风格。主要以黑色、深棕色或深色色调为主。它营造出一种神秘、戏剧性或庄严的感觉，通常用于恐怖或严肃主题的视觉作品，如昏暗的地牢","dark tones style . Predominantly black, dark brown, or deep - colored shades. It creates a sense of mystery, drama, or solemnity, often used in horror or serious - themed visuals, like a dimly - lit dungeon"
"900403","舞台灯","环境","A光源","舞台灯","Professional lights used in theaters, concerts, or events; adjustable brightness/color to create specific stage effects."
"900404","明亮色彩","环境","A光源","亮色样式。具有高亮度值的颜色，使图像看起来明亮且充满活力。它们可以创造一种愉快、积极的氛围，就像阳光下五彩缤纷的花朵田野","bright colors style . Colors with high lightness values, making the image appear well - lit and full of energy. They can create a cheerful, positive mood, like a field of brightly - colored flowers in sunlight"
"900405","荧光","环境","A光源","荧光","Fluorescent Light"
"900406","应急灯","环境","A光源","应急灯","A backup light source that activates automatically during power outages; provides low-intensity light for safety."
"900407","太阳","环境","A光源","太阳","The primary natural light source for Earth, emitting intense white light, heat, and ultraviolet radiation."
"900408","晴天光","环境","A光源","晴天光","Sunny Day Light"
"900409","夜间灯光","环境","A光源","夜间灯光","Night Lights"
"900410","通用光源","环境","A光源","通用光源","the light source"
"900411","LED 灯","环境","A光源","LED 灯","Light-Emitting Diode; small, energy-efficient, available in various colors (warm/cool white, RGB); long lifespan."
"900412","日落","环境","A光源","日落","Sunset"
"900413","火光","环境","A光源","火光","Fire"
"900414","晨光","环境","A光源","晨光","Morning Light"
"900415","互补色","环境","A光源","互补色风格。颜色配对增强彼此的强度，例如黄色和紫色。当一起使用时，它们创造出生动和谐的效果，使整体图像更加鲜明","complementary colors style . Pairings of colors that enhance each other's intensity, such as yellow and violet. They create a vivid and harmonious effect when used together, making the overall image more vibrant"
"900416","散射光","环境","A光源","散射光风格。光线被扩散开并变得柔和，通常是由于通过了像云朵或柔光箱这样的散射介质。它创造了一种均匀、无影的照明效果，给场景带来柔和和宁静的外观。","diffused light style . Light that is spread out and soft, often due to passing through a diffusing medium like clouds or a softbox. It creates an even, shadow - less illumination, giving a gentle and calming look to the scene"
"900417","夜晚","环境","A光源","夜晚","Nighttime"
"900418","傍晚月光底光神秘","环境","A环境光","傍晚月光从下方作底光，人物面部下方受光，上方显暗调，营造清冷神秘氛围","In the evening, moonlight acts as foot light from below; the lower part of the character's face is lit, the upper part has a dark tone, creating a cool and mysterious atmosphere"
"900419","烛光侧光温馨感","环境","A环境光","烛光侧光从斜前方照射，人物面部局部受光，周围环境呈暖暗调，氛围温馨私密","Candle side light shines from the obliquely front; part of the character's face is lit, the surrounding environment has a warm dark tone, and the atmosphere is warm and private"
"900420","日落暖光渐散","环境","A环境光","日落暖光渐散","Warm sunset light spreads gradually across the sky, fading from intense orange at the center to soft pink at the edges, with no sharp boundaries, just a smooth blend of warm hues."
"900421","晴天侧光立体塑型","环境","A环境光","晴天侧光从右侧照射，物体一侧受光明亮，一侧暗部过渡自然，凸显立体形态","On a sunny day, side light shines from the right side; one side of the object is brightly lit, and the dark side transitions naturally, highlighting a three-dimensional shape"
"900422","左上到右下渐变","环境","A环境光","左上到右下渐变","Diagonal red-blue gradient from blue at the top-left corner to red at the bottom-right corner)"
"900423","正午人工环形光人像","环境","A环境光","正午人工环形光环绕镜头，正面照亮人物，眼周显环形亮斑，人像肤色均匀，适配近景","At noon, artificial ring light surrounds the lens, illuminating the character head-on; there are ring-shaped bright spots around the eyes, the portrait's skin tone is even, suitable for close-ups"
"900424","日落金粉柔光","环境","A环境光","日落金粉柔光","Golden-pink sunset light glows softly, like scattered powder across the sky, with a delicate and warm tone that fades slowly as the sun sets below the horizon."
"900425","正午强光轮廓光分离","环境","A环境光","正午强光形成轮廓光，清晰勾勒人物肩背线条，有效分离人物与浅色背景","Noon strong light forms contour light, clearly outlining the character's shoulder and back lines, effectively separating the character from the light-colored background"
"900426","日落玫瑰柔光","环境","A环境光","日落玫瑰柔光","Rose-colored sunset light glows softly, a tender and warm shade that paints the sky, with the light gradually lightening as the sun disappears, leaving a soft afterglow."
"900427","左右渐变","环境","A环境光","左右渐变","Horizontal red-blue gradient from blue on the left to red on the right"
"900428","日出逆光描边","环境","A环境光","日出逆光从身后照射，人物轮廓显亮边，背景天空呈橙红渐变","Sunrise backlight shines from behind; the character's outline has a bright rim, and the background sky shows an orange-red gradient"
"900429","阴天侧逆光柔和分层","环境","A环境光","阴天侧逆光从斜后方切入，人物边缘显柔和亮边，与中间灰调过渡自然，层次柔和","On an overcast day, side backlight cuts in from the obliquely rear; the character's edges have a soft bright rim, transitioning naturally with the middle gray tone, creating soft layers"
"900430","月光银白轻泻","环境","A环境光","月光银白轻泻","Silvery-white moonlight flows gently downward, a light that is soft yet bright enough to outline the dark night, with a smooth and even glow that lacks harshness."
"900431","黎明柔光顺光清爽","环境","A环境光","黎明柔光正面照亮，光线偏冷白，场景无厚重阴影，呈现清爽通透的晨间氛围","Dawn soft light illuminates head-on; the light is slightly cool white, the scene has no heavy shadows, presenting a fresh and transparent morning atmosphere"
"900432","黄昏柔光暖调感","环境","A环境光","黄昏时分的柔光笼罩场景，光线带暖橙色调，阴影浅淡，氛围温馨柔和","The scene is enveloped in soft light at dusk, with a warm orange hue in the light, faint shadows, and a warm and gentle atmosphere"
"900433","月光银辉散落","环境","A环境光","月光银辉散落","Silvery moonlight scatters lightly, with small patches of light that are not concentrated, creating a scattered glow that adds a sense of delicacy to the night."
"900434","放射状红蓝渐变","环境","A环境光","放射状红蓝渐变","Radial red-blue gradient from blue at the center to red at the edges"
